plot,species,n.400,n.ha,age,d.inc6_mm,d.inc5_mm,d.inc4_mm,d13.6_cm,d13.5_cm,d13.4_cm,dmed_cm,h.inc6_m,h.inc5_m,h.inc4_m,h6_m,h5_m,h4_m,hmed_m,hcb_m
1,1,16,400,130,0.70,1.02,0.92,27.03,26.96,26.85,26.76,0.165206927,0.222054015,0.204545646,20.51246787,20.34726094,20.12520693,19.96,12.06199589
1,2,8,200,25,3.14,3.54,3.47,7.52,7.21,6.85,6.50,0.540683776,0.59402192,0.583963686,9.655389472,9.114705696,8.520683776,7.98,0.081995886
1,3,,,,,,,,,,,,,,,,,,
2,1,12,300,130,1.53,1.38,1.36,28.79,28.64,28.50,28.36,0.187783,0.169472571,0.166989258,23.84503857,23.65725557,23.487783,23.3,16.76597096
2,2,70,1750,70,0.63,0.72,0.66,8.39,8.33,8.26,8.19,0.077690109,0.088437241,0.081272756,9.743817459,9.66612735,9.577690109,9.5,2.965970963
2,3,,,,,,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,,,,,,
3,2,37,925,100,0.79,0.70,0.81,12.30,12.22,12.15,12.07,1.081241218,1.021265516,1.095978322,23.38374795,22.30250673,21.28124122,20.2,8.403650841
3,3,,,,,,,,,,,0.092889676,0.113764815,0.128510987,0.299544168,0.206654491,0.092889676,,
4,1,,,,,,,,,,,,,,,,,,
4,2,26,650,130,1.71,1.45,1.16,27.27,27.10,26.95,26.84,0.230825217,0.218519945,0.202742117,28.28017038,28.04934516,27.83082522,27.6,11.63497472
4,3,,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,,
5,2,10,250,110,0.72,0.84,1.18,18.70,18.63,18.55,18.43,0.082270474,0.094844536,0.13395985,17.75938548,17.67711501,17.58227047,17.5,7.567708333
5,3,6,150,95,0.82,1.00,1.13,17.28,17.20,17.10,16.99,0.092889676,0.113764815,0.128510987,22.09954417,22.00665449,21.89288968,21.8,11.86770833
6,1,11,275,115,1.08,1.07,0.86,18.96,18.85,18.74,18.66,0.090366556,0.089263164,0.07262407,19.96999628,19.87962972,19.79036656,19.7,12.88226064
6,2,35,875,115,0.75,0.70,0.50,13.83,13.76,13.69,13.64,0.06395174,0.059361949,0.042981875,11.18726543,11.12331369,11.06395174,11,4.18226064
6,3,27,675,90,0.76,0.80,0.60,12.13,12.05,11.97,11.91,0.135110585,0.137944756,0.121613396,17.90816593,17.77305534,17.63511058,17.5,10.68226064
7,1,17,425,90,2.49,2.40,2.57,15.50,15.25,15.01,14.76,0.297944049,0.286754479,0.307230642,15.28264258,14.98469853,14.69794405,14.4,10.25576923
7,2,17,425,80,0.43,0.37,0.44,5.97,5.93,5.89,5.85,0.032143493,0.027773915,0.033033259,5.792060901,5.759917408,5.732143493,5.7,1.555769231
7,3,18,450,60,0.93,1.02,0.94,6.56,6.47,6.37,6.27,0.111780681,0.122000667,0.111923837,9.145562028,9.033781347,8.911780681,8.8,4.655769231
8,1,33,825,75,0.60,0.63,0.69,9.64,9.58,9.52,9.45,0.085144591,0.088265077,0.095162266,6.85855426,6.773409668,6.685144591,6.6,2.626219526
8,2,,,,,,,,,,,,,,,,,,
8,3,3,75,60,0.81,1.08,0.93,7.03,6.95,6.84,6.75,0.282804069,0.347479585,0.311753043,7.613087723,7.330283654,6.982804069,6.7,2.726219526
9,1,11,275,35,2.63,4.24,3.43,7.12,6.85,6.43,6.09,0.251609259,0.403813743,0.327240209,6.107032261,5.855423002,5.451609259,5.2,2.73030303
9,2,,,,,,,,,,,,,,,,,,
9,3,,,,,,,,,,,,,,,,,,
