"names","lower","best","upper"
"kA.1",0.62,0.73,0.84
"kW.2",5,5.8,6.6
"kE.3",0.24,0.29,0.35
"kN.4",0.027,0.031,0.042
"kH.5",0.0014,0.0017,0.0019
"p1.AW",0.41,0.48,0.54
"p2.AE",0,0.01,0.16
"p3.AN",0.6,0.83,0.98
"p4.WA",0.94,0.99,1
"p5.WE",0,0,0.08
"p6.WN",0,0.01,0.21
"p7.EA",0,0,0.004
"p8.EW",0,0,0.003
"p9.EN",0,0.03,0.25
"p10.NA",0,0,0.007
"p11.NW",0,0.01,0.031
"p12.NE",0.79,0.92,0.99
"pH",0.0037,0.0045,0.0056
"delta1",-1.9,-1.7,-1.5
"delta2",0.76,0.86,0.96
"r",-0.321,-0.306,-0.29
"d",0.9989,0.999,0.9999
"q",0.7,1.743,7
"wopt",5,31.69,50
